observation_date,CPALTT01INM657N
1957-02-01,0.00000000000000000
1957-03-01,0.00000000000000000
1957-04-01,1.98019801856643007
1957-05-01,0.72815534190963715
1957-06-01,1.92771084215379007
1957-07-01,0.00000000000000000
1957-08-01,0.94562647695435498
1957-09-01,0.70257611198014414
1957-10-01,-0.69767441817862497
1957-11-01,0.70257611198014414
1957-12-01,-0.69767441817862497
1958-01-01,-1.87353629861369009
1958-02-01,-0.95465393734921722
1958-03-01,0.00000000000000000
1958-04-01,0.96385542107688083
1958-05-01,1.90930787469845997
1958-06-01,2.57611241305360039
1958-07-01,2.51141552594633000
1958-08-01,0.89086859631929205
1958-09-01,0.88300220695274401
1958-10-01,1.53172866425738996
1958-11-01,-0.64655172374275904
1958-12-01,-2.60303687475450030
1959-01-01,-1.55902004589799992
1959-02-01,0.90497737500649600
1959-03-01,-0.89686098599795416
1959-04-01,0.00000000000000000
1959-05-01,1.58371040863762969
1959-06-01,1.78173719263858010
1959-07-01,2.40700218898845009
1959-08-01,0.85470085416377495
1959-09-01,-0.84745762659062907
1959-10-01,1.70940170832753990
1959-11-01,0.00000000000000000
1959-12-01,-1.68067226786920010
1960-01-01,-1.49572649703083016
1960-02-01,0.00000000000000000
1960-03-01,-0.86767895825151597
1960-04-01,0.87527352243281198
1960-05-01,0.65075921868860498
1960-06-01,0.86206896725396920
1960-07-01,1.70940170832753990
1960-08-01,0.00000000000000000
1960-09-01,-0.84033613393459206
1960-10-01,0.00000000000000000
1960-11-01,-0.84745762659062907
1960-12-01,0.00000000000000000
1961-01-01,-0.85470085640802096
1961-02-01,0.00000000000000000
1961-03-01,0.86206896725396920
1961-04-01,0.00000000000000000
1961-05-01,0.00000000000000000
1961-06-01,0.85470085416377495
1961-07-01,1.69491525318124991
1961-08-01,0.62500000180524096
1961-09-01,0.00000000000000000
1961-10-01,0.00000000000000000
1961-11-01,0.00000000000000000
1961-12-01,0.00000000000000000
1962-01-01,-0.62111801420524593
1962-02-01,0.00000000000000000
1962-03-01,0.00000000000000000
1962-04-01,0.62500000180524096
1962-05-01,0.82815734937421104
1962-06-01,0.82135523562590584
1962-07-01,1.42566191357587990
1962-08-01,0.80321285302342404
1962-09-01,0.00000000000000000
1962-10-01,0.79681274850384998
1962-11-01,-0.79051383349983706
1962-12-01,-1.39442231197398003
1963-01-01,-0.80808080758357492
1963-02-01,-0.81466395061477404
1963-03-01,0.82135523562590584
1963-04-01,0.81466395061479580
1963-05-01,0.60606060568767106
1963-06-01,1.60642570393779005
1963-07-01,0.79051383349981597
1963-08-01,0.78431372500561003
1963-09-01,0.58365758923426792
1963-10-01,0.77369439022841591
1963-11-01,0.00000000000000000
1963-12-01,1.53550863627649004
1964-01-01,0.00000000000000000
1964-02-01,1.32325141894036991
1964-03-01,0.74626865624847505
1964-04-01,0.74074074027970493
1964-05-01,2.02205882421083016
1964-06-01,1.98198198074422005
1964-07-01,2.82685512379949033
1964-08-01,1.20274914196013993
1964-09-01,1.86757215681455047
1964-10-01,2.66666666498618987
1964-11-01,0.00000000000000000
1964-12-01,0.48701298841909790
1965-01-01,0.64620355371384208
1965-02-01,-1.76565008084133002
1965-03-01,-1.96078431251407004
1965-04-01,0.66666666624654802
1965-05-01,0.66225165521456608
1965-06-01,1.31578947286593984
1965-07-01,2.92207792369439012
1965-08-01,1.26182965220249010
1965-09-01,1.24610591822842998
1965-10-01,0.00000000000000000
1965-11-01,0.46153846287094102
1965-12-01,0.00000000000000000
1966-01-01,0.00000000000000000
1966-02-01,0.61255742687455794
1966-03-01,0.00000000000000000
1966-04-01,0.60882800570868201
1966-05-01,3.32829046851282007
1966-06-01,2.34260614943795042
1966-07-01,1.57367668150591999
1966-08-01,0.98591549234520204
1966-09-01,0.55788005690964793
1966-10-01,0.55478502045692601
1966-11-01,1.10344827517465993
1966-12-01,1.50068212874838980
1967-01-01,0.00000000000000000
1967-02-01,0.53763440826818798
1967-03-01,0.93582887783132596
1967-04-01,1.05960264834329010
1967-05-01,1.96592398443137051
1967-06-01,2.44215938286685041
1967-07-01,0.87829360177759919
1967-08-01,0.99502487499795400
1967-09-01,-0.49261083713257903
1967-10-01,1.36138613776442008
1967-11-01,-0.36630036607488098
1967-12-01,-0.98039215625702403
1968-01-01,2.84653465298916020
1968-02-01,-1.44404332166924010
1968-03-01,-1.83150183037439995
1968-04-01,0.49751243749896989
1968-05-01,-0.86633663442272302
1968-06-01,0.87390761625333591
1968-07-01,-0.49504950464160102
1968-08-01,2.23880597005175996
1968-09-01,0.60827250570187297
1968-10-01,0.48367593682114701
1968-11-01,-2.16606498187190022
1968-12-01,-2.82902828982047971
1969-01-01,-0.63291139333909807
1969-02-01,-0.50955413981377795
1969-03-01,0.51216389212875202
1969-04-01,0.63694267610520705
1969-05-01,1.13924050561722989
1969-06-01,2.87859824866034986
1969-07-01,0.60827250570187297
1969-08-01,0.00000000000000000
1969-09-01,0.00000000000000000
1969-10-01,-0.60459492102639889
1969-11-01,-0.48661800583926590
1969-12-01,0.00000000000000000
1970-01-01,0.00000000000000000
1970-02-01,0.00000000000000000
1970-03-01,1.10024449938338997
1970-04-01,1.08827085784755995
1970-05-01,1.07655502451705010
1970-06-01,1.18343195317020999
1970-07-01,0.46783625701684489
1970-08-01,0.58207217658696997
1970-09-01,0.46296296267594100
1970-10-01,0.57603686721400005
1970-11-01,0.00000000000000000
1970-12-01,-1.60366552139112950
1971-01-01,-1.04772991907927993
1971-02-01,0.00000000000000000
1971-03-01,0.00000000000000000
1971-04-01,0.00000000000000000
